pitch,roll,label
-21,4,4
-20,5,4
-17,5,4
-16,5,4
-15,5,4
-14,6,4
-13,7,4
-12,7,4
-12,7,4
-12,7,4
-13,7,4
-14,8,4
-15,9,4
-16,10,4
-17,11,4
-17,12,4
-17,13,4
-17,14,4
-18,15,4
-18,16,4
-18,17,4
-18,17,4
-18,17,4
-18,16,4
-18,15,4
-18,14,4
-19,13,4
-19,10,4
-19,8,4
-20,6,4
-21,5,4
-21,3,4
-21,1,4
-21,0,4
-20,0,4
-19,-2,4
-19,-2,4
-18,-1,4
-18,0,4
-18,0,4
-17,0,4
-16,1,4
-16,2,4
-15,4,4
-15,5,4
-15,7,4
-15,9,4
-15,10,4
-14,11,4
-14,12,4
-14,12,4
-14,12,4
-15,11,4
-15,10,4
-16,8,4
-16,7,4
-17,5,4
-17,3,4
-17,1,4
-18,0,4
-19,-1,4
-19,-2,4
-20,-5,4
-20,-7,4
-19,-9,4
-19,-11,4
-18,-11,4
-18,-11,4
-19,-10,4
-19,-9,4
-18,-7,4
-18,-6,4
-18,-4,4
-18,-3,4
-18,-3,4
-19,-3,4
-19,-3,4
-19,-4,4
-19,-4,4
-20,-4,4
-20,-4,4
-20,-4,4
-19,-5,4
-19,-5,4
-19,-5,4
-19,-6,4
-19,-7,4
-19,-7,4
-20,-8,4
-20,-9,4
-20,-9,4
-20,-9,4
-21,-8,4
-21,-7,4
-21,-5,4
-22,-4,4
-22,-2,4
-22,-1,4
-23,0,4
-23,1,4
-22,2,4
-22,3,4
-22,4,4
-22,5,4
-21,6,4
-21,6,4
-21,6,4
-19,6,4
-18,5,4
-18,4,4
-17,2,4
-18,1,4
-19,0,4
-19,-1,4
-19,-3,4
-18,-5,4
-18,-7,4
-18,-8,4
-19,-9,4
-19,-9,4
-19,-8,4
-20,-7,4
-21,-7,4
-21,-5,4
-21,-4,4
-21,-4,4
-21,-2,4
-20,-1,4
-20,0,4
-20,1,4
-19,3,4
-18,3,4
-17,4,4
-16,4,4
-16,5,4
-15,5,4
-15,4,4
-15,4,4
-14,3,4
-14,3,4
-14,2,4
-14,1,4
-14,0,4
-16,-1,4
-17,-3,4
-18,-4,4
-18,-6,4
-18,-6,4
-19,-6,4
-20,-5,4
-22,-4,4
-22,-4,4
-22,-4,4
-22,-3,4
-23,-2,4
-23,-1,4
-23,0,4
-23,0,4
-22,1,4
-22,2,4
-21,2,4
-21,3,4
-19,3,4
-18,2,4
-16,1,4
-15,0,4
-13,0,4
-13,-1,4
-13,-2,4
-13,-3,4
-14,-4,4
-15,-5,4
-16,-6,4
-17,-6,4
-17,-5,4
-19,-5,4
-20,-4,4
-20,-4,4
-21,-4,4
-21,-3,4
-21,-3,4
-22,-3,4
-22,-2,4
-22,-2,4
-22,-2,4
-22,-2,4
-21,-3,4
-20,-3,4
-18,-3,4
-17,-3,4
-15,-4,4
-13,-4,4
-11,-5,4
-11,-5,4
-11,-5,4
-12,-5,4
-13,-4,4
-13,-4,4
-14,-4,4
-14,-4,4
-15,-4,4
-16,-3,4
-18,-2,4
-19,-1,4
-19,0,4
-19,0,4
-20,1,4
-20,2,4
-20,3,4
-20,4,4
-20,5,4
-19,5,4
-19,5,4
-17,5,4
-16,4,4
-16,2,4
-16,2,4
-17,0,4
-17,0,4
-17,-2,4
-17,-4,4
-17,-6,4
-18,-6,4
-19,-6,4
-19,-5,4
-20,-4,4
-20,-4,4
-20,-3,4
-20,-2,4
-21,-1,4
-21,0,4
-21,0,4
-20,1,4
-19,2,4
-18,3,4
